pump_id,timestamp,pressure,temperature,flow_rate,vibration,power_consumption,hours_since_maintenance,failure
52,2023-01-01 00:00,101.2946194,63.77156984,473.1538513,2.106050518,81.3517986,4668,0
93,2023-01-01 01:00,80.14336644,66.49750384,509.2183332,1.974321713,83.75964392,1757,0
15,2023-01-01 02:00,109.3998082,60.24274272,446.0367261,2.560334202,88.08478664,7427,1
72,2023-01-01 03:00,96.10457205,51.69204881,426.3120996,1.93208474,73.86838875,8310,0
61,2023-01-01 04:00,87.29620529,66.52823184,436.0338215,1.50248174,87.96321837,5424,0
21,2023-01-01 05:00,95.61066028,52.64010361,496.3060874,2.48166146,71.15940856,1223,0
83,2023-01-01 06:00,80.97930351,57.88871639,419.2215658,1.515234121,70.3692702,6932,0
87,2023-01-01 07:00,87.50110689,57.54821702,597.4829876,1.349294691,78.07395034,39,0
75,2023-01-01 08:00,101.4294961,60.05778961,597.611611,1.480006921,86.42512514,7004,0
75,2023-01-01 09:00,102.2671169,53.68257697,544.2746634,1.694617668,84.39060347,2894,0
88,2023-01-01 10:00,103.0643883,53.43975561,481.5295439,1.054817751,85.33446898,5733,0
100,2023-01-01 11:00,100.0320987,59.89239503,475.8199264,1.136680018,80.26723343,3239,0
24,2023-01-01 12:00,93.07134877,56.01104723,514.8267916,2.390411869,84.5906981,8090,0
3,2023-01-01 13:00,99.45540861,66.73046776,529.8310258,1.914425556,75.28061817,8361,0
22,2023-01-01 14:00,95.62792553,57.24559978,514.8128919,1.91743566,78.1574459,2941,0
53,2023-01-01 15:00,83.74218402,54.85839109,434.4763303,1.971826646,102.8713896,482,0
2,2023-01-01 16:00,92.27585009,68.35917929,490.5045646,2.282077184,83.78693673,4746,0
88,2023-01-01 17:00,108.8954123,62.34968117,526.6632877,1.590488574,75.20016806,5620,0
30,2023-01-01 18:00,115.8829415,73.58476517,381.9230805,2.280192931,83.03218469,292,0
38,2023-01-01 19:00,106.5127504,50.38842906,444.7344443,2.056355939,64.44458119,8331,0
2,2023-01-01 20:00,115.4369776,61.03882939,526.2934757,1.52115531,71.78471561,3992,0
64,2023-01-01 21:00,100.8538861,62.4280629,484.3930141,2.304502643,72.97078797,3691,0
60,2023-01-01 22:00,117.4237608,60.13911443,484.4438278,2.028635668,67.82830953,8695,0
21,2023-01-01 23:00,120.5448844,58.18999731,555.422081,1.476723316,92.70013011,7993,0
33,2023-01-02 00:00,82.66530502,66.22809156,497.3094565,1.514662999,79.74148093,102,0
76,2023-01-02 01:00,102.2149331,62.33198875,476.3272872,2.239883175,80.8504646,5634,0
58,2023-01-02 02:00,100.8643019,51.55379539,484.5713222,2.507237355,73.9584968,3752,0
22,2023-01-02 03:00,95.75896184,55.65315875,486.2177207,2.141310795,63.47175916,3423,0
89,2023-01-02 04:00,104.9191554,54.17997545,458.2729936,2.444686044,74.36966164,6981,0
49,2023-01-02 05:00,100.4112507,59.39420975,488.8734674,2.616335101,70.77427104,4573,0
91,2023-01-02 06:00,92.6455108,64.74432623,443.0048893,1.887406989,64.84009075,4574,0
59,2023-01-02 07:00,99.73394895,58.10377046,483.3338451,2.082281465,82.59463049,3225,0
42,2023-01-02 08:00,112.0459458,58.73439212,474.195535,2.334650651,72.33785336,2095,0
92,2023-01-02 09:00,101.825381,55.10488935,511.5676818,1.426366579,57.19744275,7903,0
60,2023-01-02 10:00,106.2695475,63.80671178,575.7262122,2.517121647,75.00764732,8298,1
80,2023-01-02 11:00,97.229469,66.16323752,512.9783575,2.681667009,75.19292151,7695,1
15,2023-01-02 12:00,104.5206401,59.83778669,505.1574089,1.630922062,82.53995783,5299,0
62,2023-01-02 13:00,87.9078547,67.90009381,511.6917901,3.434864313,76.20145023,2827,0
62,2023-01-02 14:00,95.00279501,57.27959344,456.8592377,2.397273143,68.87195864,8404,0
47,2023-01-02 15:00,98.97331391,53.01508703,535.0978167,1.923690577,79.97903855,356,0
62,2023-01-02 16:00,87.23664079,64.02184265,520.3200821,0.961378533,68.51175045,7700,0
